,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
6061,331.5471056,0.152753649,0.084417306,1.809506328,0.070372378,0.252369907,6061
6067,113.3584059,0.060370391,0.310021493,0.194729694,0.845604564,0.935961605,6067
6068,261.0448099,-0.014182205,0.354450568,-0.040011798,0.96808372,0.977482591,6068
W-4,304.2687188,0.041236436,0.195323138,0.21111905,0.832794375,0.935961605,W-4
K-10,117.3261617,0.346016778,0.156641506,2.20897249,0.027176554,0.16150638,K-10
6072,450.7729384,0.435244515,0.19319193,2.252912503,0.024264666,0.157567981,6072
6073,763.5828473,0.121269139,0.083355064,1.454850296,0.145710711,0.336753642,6073
6074,118.8688063,-0.356303883,0.248658689,-1.432903408,0.151885443,0.343393176,6074
6075,3.768942583,0.195453776,0.541005816,0.361278511,0.717891256,NA,6075
6076,2.590399137,0.456990093,0.55085742,0.829597781,0.406766232,NA,6076
6078,32.66662963,0.65899987,0.260917444,2.525702613,0.011546718,NA,6078
6080,12.03599669,0.300336525,0.272489551,1.102194646,0.270377059,NA,6080
K-21,27.68274458,-0.006818879,0.299752348,-0.022748374,0.981850989,NA,K-21
6081,9.431931954,0.205439008,0.257736724,0.797088614,0.425399569,NA,6081
6083,31.04674057,-0.045921817,0.320458144,-0.143300514,0.88605285,NA,6083
6084,204.1812549,0.242937594,0.173300116,1.401831689,0.160965513,0.356179008,6084
6085,9.279839157,-0.36195953,0.40648846,-0.890454626,0.373221822,NA,6085
6086,6.259443115,-0.071163178,0.369092562,-0.192805776,0.84711108,NA,6086
6087,10.09238485,-0.185488917,0.390697634,-0.474763349,0.63495566,NA,6087
6088,15.97771437,-0.713305527,0.470865629,-1.51488128,0.129802472,NA,6088
K-66,2.991401799,0.437066814,0.531282811,0.822663193,0.410699552,NA,K-66
6091,431.8843178,0.102968777,0.095812205,1.074693748,0.282511864,0.515460243,6091
6092,57.09171479,0.154218888,0.218126158,0.707016938,0.479555952,NA,6092
6094,134.0224688,-0.621446611,0.294906665,-2.107265396,0.035094581,0.168116081,6094
6095,141.2107902,-0.041609558,0.26996344,-0.154130346,0.877506962,0.94358175,6095
6098,29.58515222,-0.248400793,0.264543142,-0.938980279,0.34774087,NA,6098
6097,42.10432248,-0.256104108,0.283494729,-0.903382257,0.366323053,NA,6097
6099,3.974184119,-0.05279631,0.371563769,-0.142092191,0.887007186,NA,6099
6104,26.06991929,-0.355215655,0.300668819,-1.181418335,0.237436578,NA,6104
6106,896.3088401,0.067234611,0.125365303,0.536309561,0.591744624,0.784463663,6106
6107,1085.960847,0.071385138,0.121300364,0.588498962,0.556197431,0.756756655,6107
6108,120.0432253,0.333696567,0.247701932,1.347169822,0.177925545,0.377637891,6108
6109,56.99543551,-0.246473497,0.211275879,-1.166595539,0.243373746,NA,6109
6114,12.33250438,-0.507653516,0.296550728,-1.71186063,0.086922356,NA,6114
6115,9.133784372,-0.052651305,0.24242027,-0.217190194,0.828060127,NA,6115
6116,97.28994544,-0.342796612,0.236705555,-1.448198422,0.147561566,NA,6116
6118,4.922614064,-0.216488092,0.412380107,-0.524972199,0.599602517,NA,6118
ERVW-9,387.0587042,0.047336009,0.154951354,0.305489479,0.759993382,0.898173996,ERVW-9
6119,287.681694,-0.284769442,0.196935091,-1.446006606,0.148175349,0.338686512,6119
6120,18.29184412,-0.268918865,0.200906763,-1.338525695,0.18072513,NA,6120
6122,65.4583912,-0.94883546,0.314079745,-3.021001756,0.002519399,NA,6122
6123,68.4523295,0.662460284,0.215990641,3.067078653,0.00216162,NA,6123
6124,446.5064189,-0.131171711,0.163564908,-0.801955091,0.422578936,0.648506258,6124
6125,16.47443368,-0.66701584,0.258240839,-2.582921601,0.009796758,NA,6125
6126,22.60170969,-0.158440092,0.322833003,-0.490780344,0.623581814,NA,6126
6127,614.5155739,-0.022904933,0.162310377,-0.141118106,0.88777664,0.945222913,6127
6128,140.7741299,0.183846527,0.255796485,0.718721865,0.472312308,0.692028747,6128
6129,7.27095242,-0.034665468,0.638852822,-0.054262057,0.956726379,NA,6129
